rank,player_name,points,player_url,scraped_at
65,P. Carreno Busta,884,/en/players/pablo-carreno-busta/cd85/overview,2026-07-14T15:18:08.978153
66,K. Majchrzak,882,/en/players/kamil-majchrzak/mq75/overview,2026-07-14T15:18:08.978153
67,R. Burruchaga,875,/en/players/roman-andres-burruchaga/b0fv/overview,2026-07-14T15:18:08.978153
68,H. Hurkacz,865,/en/players/hubert-hurkacz/hb71/overview,2026-07-14T15:18:08.978153
69,H. Medjedovic,844,/en/players/hamad-medjedovic/m0jf/overview,2026-07-14T15:18:08.978153
70,A. Kovacevic,837,/en/players/aleksandar-kovacevic/k0az/overview,2026-07-14T15:18:08.978153
71,A. Vallejo,830,/en/players/adolfo-daniel-vallejo/v0dp/overview,2026-07-14T15:18:08.978153
72,Z. Svajda,822,/en/players/zachary-svajda/s0k7/overview,2026-07-14T15:18:08.978153
73,J. de Jong,808,/en/players/jesper-de-jong/d0c1/overview,2026-07-14T15:18:08.978153
74,J. Duckworth,788,/en/players/james-duckworth/d994/overview,2026-07-14T15:18:08.978153
75,J. Choinski,775,/en/players/jan-choinski/ch12/overview,2026-07-14T15:18:08.978153
76,J. Brooksby,770,/en/players/jenson-brooksby/b0cd/overview,2026-07-14T15:18:08.978153
77,V. Royer,768,/en/players/valentin-royer/r0eb/overview,2026-07-14T15:18:08.978153
78,M. Fucsovics,765,/en/players/marton-fucsovics/f724/overview,2026-07-14T15:18:08.978153
79,A. Walton,754,/en/players/adam-walton/w09e/overview,2026-07-14T15:18:08.978153
80,M. Bellucci,751,/en/players/mattia-bellucci/b0gg/overview,2026-07-14T15:18:08.978153
81,H. Rune,750,/en/players/holger-rune/r0dg/overview,2026-07-14T15:18:08.978153
82,D. Merida,750,/en/players/daniel-merida/m0n7/overview,2026-07-14T15:18:08.978153
83,L. Sonego,743,/en/players/lorenzo-sonego/su87/overview,2026-07-14T15:18:08.978153
84,D. Prizmic,741,/en/players/dino-prizmic/p0hw/overview,2026-07-14T15:18:08.978153
85,S. Tsitsipas,740,/en/players/stefanos-tsitsipas/te51/overview,2026-07-14T15:18:08.978153
86,L. Van Assche,737,/en/players/luca-van-assche/v0dz/overview,2026-07-14T15:18:08.978153
87,M. Giron,730,/en/players/marcos-giron/gc88/overview,2026-07-14T15:18:08.978153
88,M. Cilic,721,/en/players/marin-cilic/c977/overview,2026-07-14T15:18:08.978153
89,G. Mpetshi Perricard,710,/en/players/giovanni-mpetshi-perricard/m0gz/overview,2026-07-14T15:18:08.978153
90,Q. Halys,706,/en/players/quentin-halys/hb64/overview,2026-07-14T15:18:08.978153
91,E. Nava,701,/en/players/emilio-nava/n0am/overview,2026-07-14T15:18:08.978153
92,J. Faria,700,/en/players/jaime-faria/f0f2/overview,2026-07-14T15:18:08.978153
93,G. Diallo,695,/en/players/gabriel-diallo/d0f6/overview,2026-07-14T15:18:08.978153
94,F. Comesana,690,/en/players/francisco-comesana/c0df/overview,2026-07-14T15:18:08.978153
95,S. Shimabukuro,679,/en/players/sho-shimabukuro/sy67/overview,2026-07-14T15:18:08.978153
96,R. Safiullin,678,/en/players/roman-safiullin/sx50/overview,2026-07-14T15:18:08.978153
97,R. Hijikata,677,/en/players/rinky-hijikata/h0bh/overview,2026-07-14T15:18:08.978153
98,A. Cazaux,677,/en/players/arthur-cazaux/c0h0/overview,2026-07-14T15:18:08.978153
99,M. Trungelliti,666,/en/players/marco-trungelliti/ta29/overview,2026-07-14T15:18:08.978153
