timestamp,scrape_time_utc,source,event,tourney_level,tourney_name,bucket_index,match_index,player1_raw,player2_raw,player1_normalized,player2_normalized,match_time,match_time_raw,is_live,player1_odds_american,player2_odds_american,player1_odds_decimal,player2_odds_decimal,player1_implied_prob,player2_implied_prob,spread_handicap,spread_odds_p1,spread_odds_p2,total_games,total_odds_over,total_odds_under,has_win,has_spread,has_total,is_bettable_row,row_key
2026-07-22 14:42:10,2026-07-22 14:42:10,bovada,ATP - Estoril (6),ATP,Estoril,1,1,Alejandro Tabilo,Tiago Torres,alejandro tabilo,tiago torres,7/22/26 12:00 PM,7/22/26 12:00 PM,False,-1100,+675,1.0909090909090908,7.75,0.9166666666666667,0.12903225806451613,-5.5,(-110),(-120),19.5,(-120),(-110),True,True,True,True,ATP - Estoril (6)|alejandro tabilo|tiago torres|7/22/26 12:00 PM|-1100|+675
2026-07-22 14:42:11,2026-07-22 14:42:11,bovada,ATP - Estoril (6),ATP,Estoril,1,2,Kyrian Jacquet,Alexander Blockx,kyrian jacquet,alexander blockx,7/22/26 1:10 PM,7/22/26 1:10 PM,False,+175,-215,2.75,1.4651162790697674,0.36363636363636365,0.6825396825396826,+3.0,(-115),(-115),22.0,(-125),(-105),True,True,True,True,ATP - Estoril (6)|alexander blockx|kyrian jacquet|7/22/26 1:10 PM|+175|-215
2026-07-22 14:42:11,2026-07-22 14:42:11,bovada,ATP - Estoril (6),ATP,Estoril,1,3,Andrey Rublev,Timofey Skatov,andrey rublev,timofey skatov,7/23/26 7:00 AM,7/23/26 7:00 AM,False,-1200,+700,1.0833333333333333,8.0,0.9230769230769231,0.125,-5.5,(EVEN),(-130),19.5,(-120),(-110),True,True,True,True,ATP - Estoril (6)|andrey rublev|timofey skatov|7/23/26 7:00 AM|-1200|+700
2026-07-22 14:42:11,2026-07-22 14:42:11,bovada,ATP - Estoril (6),ATP,Estoril,1,4,Jaime Faria,Gonzalo Bueno,jaime faria,gonzalo bueno,7/23/26 7:00 AM,7/23/26 7:00 AM,False,-500,+375,1.2,4.75,0.8333333333333334,0.21052631578947367,-5.0,(-105),(-125),20.5,(-115),(-115),True,True,True,True,ATP - Estoril (6)|gonzalo bueno|jaime faria|7/23/26 7:00 AM|-500|+375
2026-07-22 14:42:12,2026-07-22 14:42:12,bovada,ATP - Estoril (6),ATP,Estoril,1,5,Luca van Assche,Pablo Carreno-Busta,luca van assche,pablo carreno-busta,7/23/26 7:00 AM,7/23/26 7:00 AM,False,+165,-200,2.65,1.5,0.37735849056603776,0.6666666666666666,+3.0,(-115),(-115),22.5,(-110),(-120),True,True,True,True,ATP - Estoril (6)|luca van assche|pablo carreno-busta|7/23/26 7:00 AM|+165|-200
2026-07-22 14:42:12,2026-07-22 14:42:12,bovada,ATP - Estoril (6),ATP,Estoril,1,6,Pedro Martinez,Luciano Darderi,pedro martinez,luciano darderi,7/23/26 7:00 AM,7/23/26 7:00 AM,False,+260,-325,3.6,1.3076923076923077,0.2777777777777778,0.7647058823529411,+4.0,(-120),(-110),21.5,(-115),(-115),True,True,True,True,ATP - Estoril (6)|luciano darderi|pedro martinez|7/23/26 7:00 AM|+260|-325
2026-07-22 14:42:13,2026-07-22 14:42:13,bovada,Challenger - Bloomfield Hills (3),Challenger,Bloomfield Hills,8,1,Michael Zheng,Alan Magadan,michael zheng,alan magadan,7/22/26 11:00 AM,7/22/26 11:00 AM,False,-1800,+800,1.0555555555555556,9.0,0.9473684210526315,0.1111111111111111,-5.5,(-125),(-105),19.5,(-110),(-120),True,True,True,True,Challenger - Bloomfield Hills (3)|alan magadan|michael zheng|7/22/26 11:00 AM|-1800|+800
2026-07-22 14:42:13,2026-07-22 14:42:13,bovada,Challenger - Bloomfield Hills (3),Challenger,Bloomfield Hills,8,2,Thanasi Kokkinakis,Adam Walton,thanasi kokkinakis,adam walton,7/22/26 12:40 PM,7/22/26 12:40 PM,False,-130,EVEN,1.7692307692307692,2.0,0.5652173913043479,0.5,-0.5,(-120),(-110),23.0,(-120),(-110),True,True,True,True,Challenger - Bloomfield Hills (3)|adam walton|thanasi kokkinakis|7/22/26 12:40 PM|-130|EVEN
2026-07-22 14:42:14,2026-07-22 14:42:14,bovada,Challenger - Bloomfield Hills (3),Challenger,Bloomfield Hills,8,3,Mark Lajal,Pablo Llamas Ruiz,mark lajal,pablo llamas ruiz,7/22/26 1:50 PM,7/22/26 1:50 PM,False,-130,EVEN,1.7692307692307692,2.0,0.5652173913043479,0.5,-1.0,(-115),(-115),22.5,(-120),(-110),True,True,True,True,Challenger - Bloomfield Hills (3)|mark lajal|pablo llamas ruiz|7/22/26 1:50 PM|-130|EVEN
2026-07-22 14:42:14,2026-07-22 14:42:14,bovada,Challenger - Zug (1),Challenger,Zug,9,1,Jerome Kym,Philip Henning,jerome kym,philip henning,7/22/26 2:00 PM,7/22/26 2:00 PM,False,-525,+340,1.1904761904761905,4.4,0.84,0.22727272727272727,-4.5,(-125),(-105),21.5,(-110),(-120),True,True,True,True,Challenger - Zug (1)|jerome kym|philip henning|7/22/26 2:00 PM|-525|+340
2026-07-22 14:42:15,2026-07-22 14:42:15,bovada,Challenger - Segovia (2),Challenger,Segovia,10,1,Florent Bax,Paul Inchauspe,florent bax,paul inchauspe,7/22/26 11:00 AM,7/22/26 11:00 AM,False,+125,-165,2.25,1.606060606060606,0.4444444444444444,0.6226415094339623,+2.0,(-120),(-110),22.5,(-115),(-115),True,True,True,True,Challenger - Segovia (2)|florent bax|paul inchauspe|7/22/26 11:00 AM|+125|-165
2026-07-22 14:42:16,2026-07-22 14:42:16,bovada,Challenger - Segovia (2),Challenger,Segovia,10,2,Mario Gonzalez Fernandez,Keegan Smith,mario gonzalez fernandez,keegan smith,7/22/26 1:00 PM,7/22/26 1:00 PM,False,+340,-525,4.4,1.1904761904761905,0.22727272727272727,0.84,+4.5,(-105),(-125),21.5,(-110),(-120),True,True,True,True,Challenger - Segovia (2)|keegan smith|mario gonzalez fernandez|7/22/26 1:00 PM|+340|-525
2026-07-22 14:42:17,2026-07-22 14:42:17,bovada,Challenger - Winnipeg (4),Challenger,Winnipeg,13,1,Yu Hsiou Hsu,Mees Rottgering,yu hsiou hsu,mees rottgering,7/22/26 12:00 PM,7/22/26 12:00 PM,False,-150,+115,1.6666666666666665,2.15,0.6000000000000001,0.46511627906976744,-2.0,(-115),(-115),22.0,(-110),(-120),True,True,True,True,Challenger - Winnipeg (4)|mees rottgering|yu hsiou hsu|7/22/26 12:00 PM|-150|+115
2026-07-22 14:42:18,2026-07-22 14:42:18,bovada,Challenger - Winnipeg (4),Challenger,Winnipeg,13,2,Charles Broom,Zhizhen Zhang,charles broom,zhizhen zhang,7/22/26 1:10 PM,7/22/26 1:10 PM,False,+190,-260,2.9,1.3846153846153846,0.3448275862068966,0.7222222222222222,+3.5,(-125),(-105),22.5,(-105),(-125),True,True,True,True,Challenger - Winnipeg (4)|charles broom|zhizhen zhang|7/22/26 1:10 PM|+190|-260
2026-07-22 14:42:18,2026-07-22 14:42:18,bovada,Challenger - Winnipeg (4),Challenger,Winnipeg,13,3,Rio Noguchi,Keegan Rice,rio noguchi,keegan rice,7/22/26 7:00 PM,7/22/26 7:00 PM,False,-175,+135,1.5714285714285714,2.35,0.6363636363636364,0.425531914893617,-2.5,(-115),(-115),21.5,(-115),(-115),True,True,True,True,Challenger - Winnipeg (4)|keegan rice|rio noguchi|7/22/26 7:00 PM|-175|+135
2026-07-22 14:42:18,2026-07-22 14:42:18,bovada,Challenger - Winnipeg (4),Challenger,Winnipeg,13,4,Yosuke Watanuki,Toby Samuel,yosuke watanuki,toby samuel,7/22/26 7:00 PM,7/22/26 7:00 PM,False,+220,-300,3.2,1.3333333333333333,0.3125,0.75,+4.0,(-120),(-110),21.5,(-125),(-105),True,True,True,True,Challenger - Winnipeg (4)|toby samuel|yosuke watanuki|7/22/26 7:00 PM|+220|-300
