timestamp,scrape_time_utc,source,event,tourney_level,tourney_name,bucket_index,match_index,player1_raw,player2_raw,player1_normalized,player2_normalized,match_time,match_time_raw,is_live,player1_odds_american,player2_odds_american,player1_odds_decimal,player2_odds_decimal,player1_implied_prob,player2_implied_prob,spread_handicap,spread_odds_p1,spread_odds_p2,total_games,total_odds_over,total_odds_under,has_win,has_spread,has_total,is_bettable_row,row_key
2026-07-24 21:41:43,2026-07-24 21:41:43,bovada,ATP - Kitzbuhel (1),ATP,Kitzbuhel,1,1,Alexander Bublik,Quentin Halys,alexander bublik,quentin halys,7/25/26 7:00 AM,7/25/26 7:00 AM,False,-210,+170,1.4761904761904763,2.7,0.6774193548387096,0.37037037037037035,-2.5,(-110),(-120),23.5,(-115),(-115),True,True,True,True,ATP - Kitzbuhel (1)|alexander bublik|quentin halys|7/25/26 7:00 AM|-210|+170
2026-07-24 21:41:43,2026-07-24 21:41:43,bovada,ATP - Estoril (1),ATP,Estoril,2,1,Luca van Assche,Hugo Gaston,luca van assche,hugo gaston,7/25/26 12:30 PM,7/25/26 12:30 PM,False,-165,+135,1.606060606060606,2.35,0.6226415094339623,0.425531914893617,-2.5,(-115),(-115),22.0,(-120),(-110),True,True,True,True,ATP - Estoril (1)|hugo gaston|luca van assche|7/25/26 12:30 PM|-165|+135
2026-07-24 21:41:44,2026-07-24 21:41:44,bovada,Challenger - Bloomfield Hills (1),Challenger,Bloomfield Hills,9,1,Alex Michelsen,Mark Lajal,alex michelsen,mark lajal,7/24/26 6:00 PM,7/24/26 6:00 PM,False,-360,+255,1.2777777777777777,3.55,0.782608695652174,0.28169014084507044,-3.5,(-130),(EVEN),22.0,(-110),(-120),True,True,True,True,Challenger - Bloomfield Hills (1)|alex michelsen|mark lajal|7/24/26 6:00 PM|-360|+255
2026-07-24 21:41:44,2026-07-24 21:41:44,bovada,Challenger - Winnipeg (2),Challenger,Winnipeg,10,1,Shintaro Mochizuki,Johannus Monday,shintaro mochizuki,johannus monday,7/24/26 6:00 PM,7/24/26 6:00 PM,False,-190,+145,1.526315789473684,2.45,0.6551724137931035,0.4081632653061224,-3.0,(-105),(-125),22.0,(-115),(-115),True,True,True,True,Challenger - Winnipeg (2)|johannus monday|shintaro mochizuki|7/24/26 6:00 PM|-190|+145
2026-07-24 21:41:45,2026-07-24 21:41:45,bovada,Challenger - Winnipeg (2),Challenger,Winnipeg,10,2,Liam Draxl,Clement Chidekh,liam draxl,clement chidekh,7/24/26 7:00 PM,7/24/26 7:00 PM,False,-130,EVEN,1.7692307692307692,2.0,0.5652173913043479,0.5,-1.0,(-115),(-115),22.0,(-115),(-115),True,True,True,True,Challenger - Winnipeg (2)|clement chidekh|liam draxl|7/24/26 7:00 PM|-130|EVEN
2026-07-24 21:41:45,2026-07-24 21:41:45,bovada,ITF Men's - ITF Men Bali (2),ITF,ITF Men Bali,12,1,Alexander Chang,Thanaphat Boosarawongse,alexander chang,thanaphat boosarawongse,7/24/26 10:00 PM,7/24/26 10:00 PM,False,-170,+120,1.5882352941176472,2.2,0.6296296296296295,0.45454545454545453,-2.5,(-120),(-120),21.5,(-120),(-120),True,True,True,True,ITF Men's - ITF Men Bali (2)|alexander chang|thanaphat boosarawongse|7/24/26 10:00 PM|-170|+120
2026-07-24 21:41:45,2026-07-24 21:41:45,bovada,ITF Men's - ITF Men Bali (2),ITF,ITF Men Bali,12,2,Ryuki Matsuda,Ryotaro Taguchi,ryuki matsuda,ryotaro taguchi,7/24/26 10:00 PM,7/24/26 10:00 PM,False,+150,-215,2.5,1.4651162790697674,0.4,0.6825396825396826,+3.0,(-120),(-120),21.5,(-125),(-115),True,True,True,True,ITF Men's - ITF Men Bali (2)|ryotaro taguchi|ryuki matsuda|7/24/26 10:00 PM|+150|-215
2026-07-24 21:41:46,2026-07-24 21:41:46,bovada,ITF Men's - ITF Men Brisbane (1),ITF,ITF Men Brisbane,13,1,Duje Markovina,Jake Delaney,duje markovina,jake delaney,7/24/26 10:00 PM,7/24/26 10:00 PM,False,+260,-410,3.6,1.2439024390243902,0.2777777777777778,0.803921568627451,+3.5,(EVEN),(-140),22.0,(-120),(-120),True,True,True,True,ITF Men's - ITF Men Brisbane (1)|duje markovina|jake delaney|7/24/26 10:00 PM|+260|-410
