timestamp,scrape_time_utc,source,event,tourney_level,tourney_name,bucket_index,match_index,player1_raw,player2_raw,player1_normalized,player2_normalized,match_time,match_time_raw,is_live,player1_odds_american,player2_odds_american,player1_odds_decimal,player2_odds_decimal,player1_implied_prob,player2_implied_prob,spread_handicap,spread_odds_p1,spread_odds_p2,total_games,total_odds_over,total_odds_under,has_win,has_spread,has_total,is_bettable_row,row_key
2026-07-24 12:28:24,2026-07-24 12:28:24,bovada,ATP - Kitzbuhel (1),ATP,Kitzbuhel,1,1,Alexander Bublik,Tomas Martin Etcheverry,alexander bublik,tomas martin etcheverry,7/24/26 8:30 AM,7/24/26 8:30 AM,False,-175,+145,1.5714285714285714,2.45,0.6363636363636364,0.4081632653061224,-2.0,(-125),(-105),23.5,(-110),(-120),True,True,True,True,ATP - Kitzbuhel (1)|alexander bublik|tomas martin etcheverry|7/24/26 8:30 AM|-175|+145
2026-07-24 12:28:25,2026-07-24 12:28:25,bovada,ATP - Estoril (3),ATP,Estoril,2,1,Andrey Rublev,Luca van Assche,andrey rublev,luca van assche,7/24/26 8:40 AM,7/24/26 8:40 AM,False,-600,+425,1.1666666666666667,5.25,0.8571428571428571,0.19047619047619047,-4.5,(-125),(-105),21.0,(-115),(-115),True,True,True,True,ATP - Estoril (3)|andrey rublev|luca van assche|7/24/26 8:40 AM|-600|+425
2026-07-24 12:28:25,2026-07-24 12:28:25,bovada,ATP - Estoril (3),ATP,Estoril,2,2,Roman Andres Burruchaga,Alexander Blockx,roman andres burruchaga,alexander blockx,7/24/26 12:00 PM,7/24/26 12:00 PM,False,-105,-115,1.9523809523809523,1.8695652173913042,0.5121951219512195,0.5348837209302326,+0.5,(-115),(-115),22.5,(-115),(-115),True,True,True,True,ATP - Estoril (3)|alexander blockx|roman andres burruchaga|7/24/26 12:00 PM|-105|-115
2026-07-24 12:28:25,2026-07-24 12:28:25,bovada,ATP - Estoril (3),ATP,Estoril,2,3,Jaime Faria,Luciano Darderi,jaime faria,luciano darderi,7/24/26 1:10 PM,7/24/26 1:10 PM,False,+160,-195,2.6,1.5128205128205128,0.3846153846153846,0.6610169491525424,+2.5,(-110),(-120),22.0,(-125),(-105),True,True,True,True,ATP - Estoril (3)|jaime faria|luciano darderi|7/24/26 1:10 PM|+160|-195
2026-07-24 12:28:26,2026-07-24 12:28:26,bovada,Challenger - Tampere (2),Challenger,Tampere,8,1,Maks Kasnikowski,Hynek Barton,maks kasnikowski,hynek barton,7/24/26 8:30 AM,7/24/26 8:30 AM,False,-115,-115,1.8695652173913042,1.8695652173913042,0.5348837209302326,0.5348837209302326,-115,(-115),(-115),22.5,(-115),(-115),True,True,True,True,Challenger - Tampere (2)|hynek barton|maks kasnikowski|7/24/26 8:30 AM|-115|-115
2026-07-24 12:28:27,2026-07-24 12:28:27,bovada,Challenger - Tampere (2),Challenger,Tampere,8,2,Henri Squire,Otto Virtanen,henri squire,otto virtanen,7/24/26 10:00 AM,7/24/26 10:00 AM,False,+165,-220,2.65,1.4545454545454546,0.37735849056603776,0.6875,+3.0,(-120),(-110),22.5,(-115),(-115),True,True,True,True,Challenger - Tampere (2)|henri squire|otto virtanen|7/24/26 10:00 AM|+165|-220
2026-07-24 12:28:28,2026-07-24 12:28:28,bovada,Challenger - Zug (3),Challenger,Zug,10,1,Harold Mayot,Dylan Dietrich,harold mayot,dylan dietrich,7/24/26 8:40 AM,7/24/26 8:40 AM,False,+140,-185,2.4,1.5405405405405406,0.4166666666666667,0.6491228070175439,+3.0,(-125),(-105),22.0,(-120),(-110),True,True,True,True,Challenger - Zug (3)|dylan dietrich|harold mayot|7/24/26 8:40 AM|+140|-185
2026-07-24 12:28:28,2026-07-24 12:28:28,bovada,Challenger - Zug (3),Challenger,Zug,10,2,Marc-Andrea Huesler,Dominic Stephan Stricker,marc-andrea huesler,dominic stephan stricker,7/24/26 1:30 PM,7/24/26 1:30 PM,False,+115,-150,2.15,1.6666666666666665,0.46511627906976744,0.6000000000000001,+1.5,(-115),(-115),23.0,(-120),(-110),True,True,True,True,Challenger - Zug (3)|dominic stephan stricker|marc-andrea huesler|7/24/26 1:30 PM|+115|-150
2026-07-24 12:28:28,2026-07-24 12:28:28,bovada,Challenger - Zug (3),Challenger,Zug,10,3,Max Hans Rehberg,Anton Matusevich,max hans rehberg,anton matusevich,7/24/26 10:30 AM,7/24/26 10:30 AM,False,-285,+210,1.3508771929824561,3.1,0.7402597402597403,0.3225806451612903,-3.5,(-115),(-115),22.0,(-110),(-120),True,True,True,True,Challenger - Zug (3)|anton matusevich|max hans rehberg|7/24/26 10:30 AM|-285|+210
2026-07-24 12:28:29,2026-07-24 12:28:29,bovada,Challenger - Segovia (1),Challenger,Segovia,13,1,Alejandro Moro Canas,Oliver Crawford,alejandro moro canas,oliver crawford,7/24/26 11:00 AM,7/24/26 11:00 AM,False,-130,EVEN,1.7692307692307692,2.0,0.5652173913043479,0.5,-1.0,(-115),(-115),22.5,(-115),(-115),True,True,True,True,Challenger - Segovia (1)|alejandro moro canas|oliver crawford|7/24/26 11:00 AM|-130|EVEN
