timestamp,scrape_time_utc,source,event,tourney_level,tourney_name,bucket_index,match_index,player1_raw,player2_raw,player1_normalized,player2_normalized,match_time,match_time_raw,is_live,player1_odds_american,player2_odds_american,player1_odds_decimal,player2_odds_decimal,player1_implied_prob,player2_implied_prob,spread_handicap,spread_odds_p1,spread_odds_p2,total_games,total_odds_over,total_odds_under,has_win,has_spread,has_total,is_bettable_row,row_key
2026-07-23 12:21:38,2026-07-23 12:21:38,bovada,ATP - Estoril (5),ATP,Estoril,1,1,Jaime Faria,Gonzalo Bueno,jaime faria,gonzalo bueno,7/23/26 9:00 AM,7/23/26 9:00 AM,False,-600,+425,1.1666666666666667,5.25,0.8571428571428571,0.19047619047619047,-5.0,(-105),(-125),20.5,(-120),(-110),True,True,True,True,ATP - Estoril (5)|gonzalo bueno|jaime faria|7/23/26 9:00 AM|-600|+425
2026-07-23 12:21:38,2026-07-23 12:21:38,bovada,ATP - Estoril (5),ATP,Estoril,1,2,Andrey Rublev,Timofey Skatov,andrey rublev,timofey skatov,7/23/26 12:00 PM,7/23/26 12:00 PM,False,-2000,+1000,1.05,11.0,0.9523809523809523,0.09090909090909091,-6.0,(-120),(-110),18.5,(-115),(-115),True,True,True,True,ATP - Estoril (5)|andrey rublev|timofey skatov|7/23/26 12:00 PM|-2000|+1000
2026-07-23 12:21:38,2026-07-23 12:21:38,bovada,ATP - Estoril (5),ATP,Estoril,1,3,Pedro Martinez,Luciano Darderi,pedro martinez,luciano darderi,7/23/26 1:10 PM,7/23/26 1:10 PM,False,+260,-325,3.6,1.3076923076923077,0.2777777777777778,0.7647058823529411,+4.0,(-125),(-105),21.5,(-120),(-110),True,True,True,True,ATP - Estoril (5)|luciano darderi|pedro martinez|7/23/26 1:10 PM|+260|-325
2026-07-23 12:21:38,2026-07-23 12:21:38,bovada,ATP - Estoril (5),ATP,Estoril,1,4,Roman Andres Burruchaga,Alexander Blockx,roman andres burruchaga,alexander blockx,7/24/26 7:00 AM,7/24/26 7:00 AM,False,+120,-145,2.2,1.6896551724137931,0.45454545454545453,0.5918367346938775,+1.5,(-110),(-120),22.5,(-115),(-115),True,True,True,True,ATP - Estoril (5)|alexander blockx|roman andres burruchaga|7/24/26 7:00 AM|+120|-145
2026-07-23 12:21:39,2026-07-23 12:21:39,bovada,ATP - Estoril (5),ATP,Estoril,1,5,Tiago Torres,Hugo Gaston,tiago torres,hugo gaston,7/24/26 7:00 AM,7/24/26 7:00 AM,False,+260,-325,3.6,1.3076923076923077,0.2777777777777778,0.7647058823529411,+4.5,(-120),(-110),21.0,(-110),(-120),True,True,True,True,ATP - Estoril (5)|hugo gaston|tiago torres|7/24/26 7:00 AM|+260|-325
2026-07-23 12:21:39,2026-07-23 12:21:39,bovada,ATP - Kitzbuhel (1),ATP,Kitzbuhel,2,1,Alexander Bublik,Alex Molcan,alexander bublik,alex molcan,7/23/26 9:30 AM,7/23/26 9:30 AM,False,-165,+135,1.606060606060606,2.35,0.6226415094339623,0.425531914893617,-1.5,(-125),(-105),23.5,(-110),(-120),True,True,True,True,ATP - Kitzbuhel (1)|alex molcan|alexander bublik|7/23/26 9:30 AM|-165|+135
2026-07-23 12:21:40,2026-07-23 12:21:40,bovada,Challenger - Tampere (1),Challenger,Tampere,11,1,Dimitar Kuzmanov,Otto Virtanen,dimitar kuzmanov,otto virtanen,7/23/26 9:30 AM,7/23/26 9:30 AM,False,+170,-225,2.7,1.4444444444444444,0.37037037037037035,0.6923076923076923,+3.0,(-110),(-120),22.0,(-120),(-110),True,True,True,True,Challenger - Tampere (1)|dimitar kuzmanov|otto virtanen|7/23/26 9:30 AM|+170|-225
2026-07-23 12:21:41,2026-07-23 12:21:41,bovada,Challenger - Zug (2),Challenger,Zug,13,1,Harold Mayot,Mika Brunold,harold mayot,mika brunold,7/23/26 10:30 AM,7/23/26 10:30 AM,False,-150,+115,1.6666666666666665,2.15,0.6000000000000001,0.46511627906976744,-1.5,(-120),(-110),22.5,(-110),(-120),True,True,True,True,Challenger - Zug (2)|harold mayot|mika brunold|7/23/26 10:30 AM|-150|+115
2026-07-23 12:21:41,2026-07-23 12:21:41,bovada,Challenger - Zug (2),Challenger,Zug,13,2,Norbert Gombos,Dominic Stephan Stricker,norbert gombos,dominic stephan stricker,7/23/26 1:30 PM,7/23/26 1:30 PM,False,+190,-260,2.9,1.3846153846153846,0.3448275862068966,0.7222222222222222,+3.5,(-125),(-105),22.5,(-110),(-120),True,True,True,True,Challenger - Zug (2)|dominic stephan stricker|norbert gombos|7/23/26 1:30 PM|+190|-260
2026-07-23 12:21:42,2026-07-23 12:21:42,bovada,Challenger - Segovia (1),Challenger,Segovia,14,1,Alejo Sanchez Quilez,Oliver Crawford,alejo sanchez quilez,oliver crawford,7/23/26 11:00 AM,7/23/26 11:00 AM,False,-105,-125,1.9523809523809523,1.8,0.5121951219512195,0.5555555555555556,+1.0,(-115),(-115),22.5,(-110),(-120),True,True,True,True,Challenger - Segovia (1)|alejo sanchez quilez|oliver crawford|7/23/26 11:00 AM|-105|-125
