timestamp,scrape_time_utc,source,event,tourney_level,tourney_name,bucket_index,match_index,player1_raw,player2_raw,player1_normalized,player2_normalized,match_time,match_time_raw,is_live,player1_odds_american,player2_odds_american,player1_odds_decimal,player2_odds_decimal,player1_implied_prob,player2_implied_prob,spread_handicap,spread_odds_p1,spread_odds_p2,total_games,total_odds_over,total_odds_under,has_win,has_spread,has_total,is_bettable_row,row_key
2026-07-17 07:15:02,2026-07-17 07:15:02,bovada,ATP - Gstaad (5),ATP,Gstaad,1,1,Raphael Collignon,Valentin Vacherot,raphael collignon,valentin vacherot,7/17/26 4:30 AM,7/17/26 4:30 AM,False,-155,+130,1.6451612903225805,2.3,0.607843137254902,0.4347826086956522,-1.5,(-120),(-110),24.5,(-105),(-125),True,True,True,True,ATP - Gstaad (5)|raphael collignon|valentin vacherot|7/17/26 4:30 AM|-155|+130
2026-07-17 07:15:02,2026-07-17 07:15:02,bovada,ATP - Gstaad (5),ATP,Gstaad,1,2,Alexander Bublik,Quentin Halys,alexander bublik,quentin halys,7/17/26 6:00 AM,7/17/26 6:00 AM,False,-230,+190,1.434782608695652,2.9,0.696969696969697,0.3448275862068966,,,,,,,True,False,False,True,ATP - Gstaad (5)|alexander bublik|quentin halys|7/17/26 6:00 AM|-230|+190
2026-07-17 07:15:03,2026-07-17 07:15:03,bovada,ATP - Gstaad (5),ATP,Gstaad,1,3,Alexander Shevchenko,Dominic Stephan Stricker,alexander shevchenko,dominic stephan stricker,7/17/26 6:00 AM,7/17/26 6:00 AM,False,+220,-275,3.2,1.3636363636363638,0.3125,0.7333333333333333,+1.5,(+125),(-165),23.5,(-120),(-110),True,True,True,True,ATP - Gstaad (5)|alexander shevchenko|dominic stephan stricker|7/17/26 6:00 AM|+220|-275
2026-07-17 07:15:03,2026-07-17 07:15:03,bovada,ATP - Gstaad (5),ATP,Gstaad,1,4,Juan Manuel Cerundolo,Casper Ruud,juan manuel cerundolo,casper ruud,7/17/26 6:15 AM,7/17/26 6:15 AM,False,+240,-300,3.4,1.3333333333333333,0.29411764705882354,0.75,+3.5,(-110),(-120),22.0,(-120),(-110),True,True,True,True,ATP - Gstaad (5)|casper ruud|juan manuel cerundolo|7/17/26 6:15 AM|+240|-300
2026-07-17 07:15:03,2026-07-17 07:15:03,bovada,ATP - Gstaad (5),ATP,Gstaad,1,5,Arthur Rinderknech,Stefanos Tsitsipas,arthur rinderknech,stefanos tsitsipas,7/17/26 11:30 AM,7/17/26 11:30 AM,False,+145,-175,2.45,1.5714285714285714,0.4081632653061224,0.6363636363636364,+2.0,(-115),(-115),25.0,(-115),(-115),True,True,True,True,ATP - Gstaad (5)|arthur rinderknech|stefanos tsitsipas|7/17/26 11:30 AM|+145|-175
2026-07-17 07:15:05,2026-07-17 07:15:05,bovada,ATP - Bastad (4),ATP,Bastad,2,1,Adolfo Daniel Vallejo,Stefano Travaglia,adolfo daniel vallejo,stefano travaglia,7/17/26 5:00 AM,7/17/26 5:00 AM,False,-275,+220,1.3636363636363638,3.2,0.7333333333333333,0.3125,-3.5,(-130),(EVEN),21.5,(-120),(-110),True,True,True,True,ATP - Bastad (4)|adolfo daniel vallejo|stefano travaglia|7/17/26 5:00 AM|-275|+220
2026-07-17 07:15:05,2026-07-17 07:15:05,bovada,ATP - Bastad (4),ATP,Bastad,2,2,Nuno Borges,Luciano Darderi,nuno borges,luciano darderi,7/17/26 6:10 AM,7/17/26 6:10 AM,False,+120,-145,2.2,1.6896551724137931,0.45454545454545453,0.5918367346938775,+1.5,(-120),(-110),23.0,(-110),(-120),True,True,True,True,ATP - Bastad (4)|luciano darderi|nuno borges|7/17/26 6:10 AM|+120|-145
2026-07-17 07:15:06,2026-07-17 07:15:06,bovada,ATP - Bastad (4),ATP,Bastad,2,3,Andrey Rublev,Sebastian Baez,andrey rublev,sebastian baez,7/17/26 8:00 AM,7/17/26 8:00 AM,False,-175,+145,1.5714285714285714,2.45,0.6363636363636364,0.4081632653061224,-2.5,(-125),(-105),22.5,(-110),(-120),True,True,True,True,ATP - Bastad (4)|andrey rublev|sebastian baez|7/17/26 8:00 AM|-175|+145
2026-07-17 07:15:06,2026-07-17 07:15:06,bovada,ATP - Bastad (4),ATP,Bastad,2,4,Alejandro Tabilo,Thiago Agustin Tirante,alejandro tabilo,thiago agustin tirante,7/17/26 9:10 AM,7/17/26 9:10 AM,False,-130,+110,1.7692307692307692,2.1,0.5652173913043479,0.47619047619047616,-1.5,(-110),(-120),23.0,(-120),(-110),True,True,True,True,ATP - Bastad (4)|alejandro tabilo|thiago agustin tirante|7/17/26 9:10 AM|-130|+110
2026-07-17 07:15:07,2026-07-17 07:15:07,bovada,ATP - Umag (2),ATP,Umag,3,1,Roman Andres Burruchaga,Daniel Merida Aguilar,roman andres burruchaga,daniel merida aguilar,7/17/26 12:30 PM,7/17/26 12:30 PM,False,+140,-170,2.4,1.5882352941176472,0.4166666666666667,0.6296296296296295,+2.5,(-115),(-115),22.0,(-120),(-110),True,True,True,True,ATP - Umag (2)|daniel merida aguilar|roman andres burruchaga|7/17/26 12:30 PM|+140|-170
2026-07-17 07:15:07,2026-07-17 07:15:07,bovada,ATP - Umag (2),ATP,Umag,3,2,Damir Dzumhur,Alex Molcan,damir dzumhur,alex molcan,7/17/26 3:00 PM,7/17/26 3:00 PM,False,+170,-210,2.7,1.4761904761904763,0.37037037037037035,0.6774193548387096,+3.5,(-115),(-115),21.5,(-110),(-120),True,True,True,True,ATP - Umag (2)|alex molcan|damir dzumhur|7/17/26 3:00 PM|+170|-210
2026-07-17 07:15:09,2026-07-17 07:15:09,bovada,Challenger - Bunschoten (4),Challenger,Bunschoten,11,1,Daniel Elahi Galan,Kimmer Coppejans,daniel elahi galan,kimmer coppejans,7/17/26 5:00 AM,7/17/26 5:00 AM,False,+110,-145,2.1,1.6896551724137931,0.47619047619047616,0.5918367346938775,+1.5,(-120),(-110),22.5,(-120),(-110),True,True,True,True,Challenger - Bunschoten (4)|daniel elahi galan|kimmer coppejans|7/17/26 5:00 AM|+110|-145
2026-07-17 07:15:09,2026-07-17 07:15:09,bovada,Challenger - Bunschoten (4),Challenger,Bunschoten,11,2,Ryan Nijboer,Guy den Ouden,ryan nijboer,guy den ouden,7/17/26 6:30 AM,7/17/26 6:30 AM,False,+305,-460,4.05,1.2173913043478262,0.2469135802469136,0.8214285714285714,+4.5,(-115),(-115),21.0,(-120),(-110),True,True,True,True,Challenger - Bunschoten (4)|guy den ouden|ryan nijboer|7/17/26 6:30 AM|+305|-460
2026-07-17 07:15:10,2026-07-17 07:15:10,bovada,Challenger - Bunschoten (4),Challenger,Bunschoten,11,3,Jan Kumstat,Thijs Boogaard,jan kumstat,thijs boogaard,7/17/26 9:00 AM,7/17/26 9:00 AM,False,-125,-105,1.8,1.9523809523809523,0.5555555555555556,0.5121951219512195,-0.5,(-115),(-115),22.5,(-115),(-115),True,True,True,True,Challenger - Bunschoten (4)|jan kumstat|thijs boogaard|7/17/26 9:00 AM|-125|-105
