timestamp,scrape_time_utc,source,event,tourney_level,tourney_name,bucket_index,match_index,player1_raw,player2_raw,player1_normalized,player2_normalized,match_time,match_time_raw,is_live,player1_odds_american,player2_odds_american,player1_odds_decimal,player2_odds_decimal,player1_implied_prob,player2_implied_prob,spread_handicap,spread_odds_p1,spread_odds_p2,total_games,total_odds_over,total_odds_under,has_win,has_spread,has_total,is_bettable_row,row_key
2026-07-12 09:26:40,2026-07-12 09:26:40,bovada,Wimbledon - Men's Singles (1),Wimbledon,Men's Singles,1,1,Jannik Sinner,Alexander Zverev,jannik sinner,alexander zverev,7/12/26 3:20 PM,7/12/26 3:20 PM,False,-475,+390,1.2105263157894737,4.9,0.8260869565217391,0.2040816326530612,-5.0,(-120),(-110),38.5,(-115),(-115),True,True,True,True,Wimbledon - Men's Singles (1)|alexander zverev|jannik sinner|7/12/26 3:20 PM|-475|+390
2026-07-12 09:26:45,2026-07-12 09:26:45,bovada,ATP - Bastad (14),ATP,Bastad,3,1,Francesco Passaro,Maks Kasnikowski,francesco passaro,maks kasnikowski,7/12/26 10:00 AM,7/12/26 10:00 AM,False,-115,-105,1.8695652173913042,1.9523809523809523,0.5348837209302326,0.5121951219512195,-0.5,(-120),(-110),22.5,(-115),(-115),True,True,True,True,ATP - Bastad (14)|francesco passaro|maks kasnikowski|7/12/26 10:00 AM|-115|-105
2026-07-12 09:26:45,2026-07-12 09:26:45,bovada,ATP - Bastad (14),ATP,Bastad,3,2,William Vinciguerra,Lautaro Midon,william vinciguerra,lautaro midon,7/12/26 10:00 AM,7/12/26 10:00 AM,False,+850,-1600,9.5,1.0625,0.10526315789473684,0.9411764705882353,+6.5,(-135),(+105),17.5,(-135),(+105),True,True,True,True,ATP - Bastad (14)|lautaro midon|william vinciguerra|7/12/26 10:00 AM|+850|-1600
2026-07-12 09:26:46,2026-07-12 09:26:46,bovada,ATP - Bastad (14),ATP,Bastad,3,3,Elmer Møller,Thomas Faurel,elmer mller,thomas faurel,7/12/26 11:10 AM,7/12/26 11:10 AM,False,-215,+175,1.4651162790697674,2.75,0.6825396825396826,0.36363636363636365,-3.5,(-120),(-110),21.0,(-115),(-115),True,True,True,True,ATP - Bastad (14)|elmer mller|thomas faurel|7/12/26 11:10 AM|-215|+175
2026-07-12 09:26:46,2026-07-12 09:26:46,bovada,ATP - Bastad (14),ATP,Bastad,3,4,Federico Coria,Taro Daniel,federico coria,taro daniel,7/12/26 11:10 AM,7/12/26 11:10 AM,False,+210,-260,3.1,1.3846153846153846,0.3225806451612903,0.7222222222222222,+4.0,(-120),(-110),21.0,(-115),(-115),True,True,True,True,ATP - Bastad (14)|federico coria|taro daniel|7/12/26 11:10 AM|+210|-260
2026-07-12 09:26:46,2026-07-12 09:26:46,bovada,ATP - Bastad (14),ATP,Bastad,3,5,Nikola Slavic,Miguel Damas,nikola slavic,miguel damas,7/12/26 12:20 PM,7/12/26 12:20 PM,False,+450,-650,5.5,1.1538461538461537,0.18181818181818182,0.8666666666666667,+5.5,(-130),(EVEN),19.5,(-110),(-120),True,True,True,True,ATP - Bastad (14)|miguel damas|nikola slavic|7/12/26 12:20 PM|+450|-650
2026-07-12 09:26:47,2026-07-12 09:26:47,bovada,ATP - Bastad (14),ATP,Bastad,3,6,Roberto Carballes Baena,Carlos Sanchez Jover,roberto carballes baena,carlos sanchez jover,7/12/26 12:20 PM,7/12/26 12:20 PM,False,-450,+350,1.2222222222222223,4.5,0.8181818181818181,0.2222222222222222,-5.0,(EVEN),(-130),20.5,(-110),(-120),True,True,True,True,ATP - Bastad (14)|carlos sanchez jover|roberto carballes baena|7/12/26 12:20 PM|-450|+350
2026-07-12 09:26:47,2026-07-12 09:26:47,bovada,ATP - Bastad (14),ATP,Bastad,3,7,Dalibor Svrcina,Grigor Dimitrov,dalibor svrcina,grigor dimitrov,7/13/26 8:30 AM,7/13/26 8:30 AM,False,+175,-215,2.75,1.4651162790697674,0.36363636363636365,0.6825396825396826,+3.5,(-120),(-110),21.5,(-125),(-105),True,True,True,True,ATP - Bastad (14)|dalibor svrcina|grigor dimitrov|7/13/26 8:30 AM|+175|-215
2026-07-12 09:26:47,2026-07-12 09:26:47,bovada,ATP - Bastad (14),ATP,Bastad,3,8,Daniel Altmaier,Hugo Gaston,daniel altmaier,hugo gaston,7/13/26 8:30 AM,7/13/26 8:30 AM,False,-150,+125,1.6666666666666665,2.25,0.6000000000000001,0.4444444444444444,-2.5,(-110),(-120),21.5,(-125),(-105),True,True,True,True,ATP - Bastad (14)|daniel altmaier|hugo gaston|7/13/26 8:30 AM|-150|+125
2026-07-12 09:26:48,2026-07-12 09:26:48,bovada,ATP - Bastad (14),ATP,Bastad,3,9,Jan Choinski,Nikoloz Basilashvili,jan choinski,nikoloz basilashvili,7/13/26 8:30 AM,7/13/26 8:30 AM,False,-175,+145,1.5714285714285714,2.45,0.6363636363636364,0.4081632653061224,-2.5,(-115),(-115),22.5,(-110),(-120),True,True,True,True,ATP - Bastad (14)|jan choinski|nikoloz basilashvili|7/13/26 8:30 AM|-175|+145
