bet_id,timestamp,event,match,match_uid,feature_snapshot_id,run_id,bet_on,bet_on_player1,odds_decimal,stake,stake_fraction,model_prob,market_prob,edge,kelly_fraction,potential_profit,potential_loss,group_key,bankroll,model_version,match_date,match_start_time,status
bet_20260723_101036_0,2026-07-23 10:10:36,ATP - Kitzbuhel (3),Yannick Hanfmann vs Sebastian Baez,match_47d5d821d748e6b6d75b,feat_43cf434e8bf98ce8850b,run_20260723T094152Z,Sebastian Baez,False,2.1,1.847211455214161,0.004637710728408368,0.6376152038574219,0.47619047619047616,0.1614247276669457,0.30817448009144177,2.031932600735577,1.847211455214161,2026-07-23,398.3024305287173,v1.2.3,2026-07-23,7/23/26 6:15 AM,pending
bet_20260723_101036_1,2026-07-23 10:10:36,ATP - Estoril (6),Jaime Faria vs Gonzalo Bueno,match_95a339857b0a8ec1c1fd,feat_fe1853873b946916d654,run_20260723T094152Z,Gonzalo Bueno,False,5.0,1.0898148090278474,0.0027361490302260975,0.3311063051223755,0.2,0.13110630512237548,0.16388288140296936,4.35925923611139,1.0898148090278474,2026-07-23,398.3024305287173,v1.2.3,2026-07-23,7/23/26 9:00 AM,pending
bet_20260723_101036_2,2026-07-23 10:10:36,ATP - Estoril (6),Andrey Rublev vs Timofey Skatov,match_aeef5dc6c0cb8bbb424b,feat_bcb7845ca488cc8f6d2b,run_20260723T094152Z,Timofey Skatov,False,11.0,1.297828404261349,0.003258399409058531,0.26833027601242065,0.09090909090909091,0.17742118510332974,0.19516330361366271,12.97828404261349,1.297828404261349,2026-07-23,398.3024305287173,v1.2.3,2026-07-23,7/23/26 12:00 PM,pending
bet_20260723_101036_3,2026-07-23 10:10:36,Challenger - Segovia (3),Alejo Sanchez Quilez vs Oliver Crawford,match_1f87aaad2e9178fe955a,feat_c597e7cea094a551d01d,run_20260723T094152Z,Oliver Crawford,False,1.8,1.847211455214161,0.004637710728408368,0.7362524271011353,0.5555555555555556,0.18069687154557967,0.4065679609775544,1.4777691641713289,1.847211455214161,2026-07-23,398.3024305287173,v1.2.3,2026-07-23,7/23/26 11:00 AM,pending
bet_20260723_101036_4,2026-07-23 10:10:36,Challenger - Zug (3),Marc-Andrea Huesler vs Juan Bautista Torres,match_949c3daf59699ebad451,feat_e305e4c1deb168ec92f5,run_20260723T094152Z,Juan Bautista Torres,False,2.85,1.847211455214161,0.004637710728408368,0.7102459073066711,0.3508771929824561,0.359368714324215,0.5536220734183853,3.417341192146198,1.847211455214161,2026-07-23,398.3024305287173,v1.2.3,2026-07-23,7/23/26 6:40 AM,pending
bet_20260723_101036_5,2026-07-23 10:10:36,Challenger - Zug (3),Norbert Gombos vs Dominic Stephan Stricker,match_f8557cb3baae3a540a0f,feat_3d0f014369effc9bd3d0,run_20260723T094152Z,Norbert Gombos,True,2.9,1.0942257654492655,0.0027472234201452424,0.45263370871543884,0.3448275862068966,0.10780612250854227,0.1645461869867224,2.0790289543536042,1.0942257654492655,2026-07-23,398.3024305287173,v1.2.3,2026-07-23,7/23/26 1:30 PM,pending
bet_20260723_101036_6,2026-07-23 10:10:36,Challenger - Winnipeg (2),Shintaro Mochizuki vs Duncan Chan,match_6899690d0fafadb3a509,feat_9138197b353df22175eb,run_20260723T094152Z,Shintaro Mochizuki,True,1.3508771929824561,1.847211455214161,0.004637710728408368,0.8670111894607544,0.7402597402597403,0.1267514492010141,0.4879930794239044,0.6481443702505828,1.847211455214161,2026-07-23,398.3024305287173,v1.2.3,2026-07-23,7/23/26 1:10 PM,pending
bet_20260723_101036_7,2026-07-23 10:10:36,ITF Men's - ITF Men Metzingen (6),Viktor Durasovic vs Jamie Mackenzie,match_90dd190340986952e179,feat_6facbe44d65a7462ee75,run_20260723T094152Z,Viktor Durasovic,True,1.9090909090909092,1.847211455214161,0.004637710728408368,0.6847934722900391,0.5238095238095238,0.16098394848051523,0.338066291809082,1.6792831411037827,1.847211455214161,2026-07-23,398.3024305287173,v1.2.3,2026-07-23,7/23/26 7:00 AM,pending
