bet_id,timestamp,event,match,match_uid,feature_snapshot_id,run_id,bet_on,bet_on_player1,odds_decimal,stake,stake_fraction,model_prob,market_prob,edge,kelly_fraction,potential_profit,potential_loss,group_key,bankroll,model_version,match_date,match_start_time,status
bet_20260710_113043_0,2026-07-10 11:30:43,Wimbledon - Men's Singles (2),Arthur Fery vs Alexander Zverev,match_dd671e8ea4957a3a6cce,feat_7371596c893ddad5fa9d,run_20260710T112249Z,Alexander Zverev,False,1.1428571428571428,10.167095450118811,0.010167095450118811,0.8988768756389618,0.875,0.023876875638961792,0.05,1.4524422071598295,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_1,2026-07-10 11:30:43,Wimbledon - Men's Singles (2),Jannik Sinner vs Novak Djokovic,match_ee976738ccc1ecfb1b3a,feat_b5cab2ec79fc967d68f5,run_20260710T112249Z,Novak Djokovic,False,4.9,7.159377347980181,0.007159377347980181,0.23210477828979492,0.2040816326530612,0.02802314563673372,0.03520856759487055,27.92157165712271,7.159377347980181,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_2,2026-07-10 11:30:43,Challenger - Braunschweig (2),Hugo Gaston vs Marvin Moeller,match_2c62cf0b8e49612e15f7,feat_ed0b7306ada79ae8d6b2,run_20260710T112249Z,Marvin Moeller,False,2.9,10.167095450118811,0.010167095450118811,0.4154297113418579,0.3448275862068966,0.07060212513496134,0.05,19.31748135522574,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_3,2026-07-10 11:30:43,ITF Men's - ITF Men Kassel (2),Max Wiskandt vs Anton Matusevich,match_21a4f9051d0c1a795fce,feat_d15b1706cc1332582fcf,run_20260710T112249Z,Anton Matusevich,False,1.8695652173913042,10.167095450118811,0.010167095450118811,0.5602749288082123,0.5348837209302326,0.02539120787797966,0.05,8.840952565320704,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_4,2026-07-10 11:30:43,Challenger - Liege (4),Jack Loge vs Lorenzo Giustino,match_9ef5e45b073b7a841da1,feat_cb4b2d7d85a41dd8cb38,run_20260710T112249Z,Jack Loge,True,3.25,10.167095450118811,0.010167095450118811,0.3914165496826172,0.3076923076923077,0.08372424199030948,0.05,22.875964762767325,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_5,2026-07-10 11:30:43,Challenger - Liege (4),Florian Broska vs Felix Balshaw,match_158b321faca1b76f1c86,feat_c95f21b46090d75553b0,run_20260710T112249Z,Florian Broska,True,3.55,10.167095450118811,0.010167095450118811,0.3801739811897278,0.28169014084507044,0.09848384034465735,0.05,25.926093397802966,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_6,2026-07-10 11:30:43,Challenger - Nottingham (2),Johannus Monday vs Henry Searle,match_845fe450fd69ae7e632e,feat_4843cfc90fb2bdb4203c,run_20260710T112249Z,Johannus Monday,True,3.0,10.167095450118811,0.010167095450118811,0.5025734305381775,0.3333333333333333,0.16924009720484418,0.05,20.334190900237623,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_7,2026-07-10 11:30:43,Challenger - Nottingham (2),Max Basing vs Felix Gill,match_ca566893e08bb254f502,feat_8dc8082735eeb20c7e78,run_20260710T112249Z,Max Basing,True,2.2,10.167095450118811,0.010167095450118811,0.5576792359352112,0.45454545454545453,0.10313378138975665,0.05,12.200514540142576,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_8,2026-07-10 11:30:43,Challenger - Iasi (3),Titouan Droguet vs Gustavo Heide,match_a0e214c12c94eb00fdb4,feat_8712588e7b783b27d779,run_20260710T112249Z,Gustavo Heide,False,2.15,10.167095450118811,0.010167095450118811,0.5364142656326294,0.46511627906976744,0.07129798656286196,0.05,11.692159767636632,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_9,2026-07-10 11:30:43,Challenger - Iasi (3),Valentin Royer vs Taro Daniel,match_c82a3ceaaafe0c263f91,feat_02763b4ed1f8da3c6587,run_20260710T112249Z,Valentin Royer,True,1.6451612903225805,10.167095450118811,0.010167095450118811,0.6734302639961243,0.607843137254902,0.06558712674122225,0.05,6.55941641943149,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_10,2026-07-10 11:30:43,Challenger - Trieste (4),Lukas Neumayer vs Henri Squire,match_6e9aaf5f9f74c2a45f47,feat_e6a3420d2bbc60702cb3,run_20260710T112249Z,Henri Squire,False,2.75,10.167095450118811,0.010167095450118811,0.49979597330093384,0.36363636363636365,0.1361596096645702,0.05,17.79241703770792,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_11,2026-07-10 11:30:43,Challenger - Trieste (4),Raul Brancaccio vs Matej Dodig,match_b7289a18a113efad6784,feat_a7caddba59b68e7c1b6c,run_20260710T112249Z,Matej Dodig,False,1.7407407407407407,10.167095450118811,0.010167095450118811,0.6259781122207642,0.574468085106383,0.05151002711438113,0.05,7.531181814902823,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_12,2026-07-10 11:30:43,Challenger - Trieste (4),Henry Bernet vs Federico Bondioli,match_ce09cec82c01c92f0304,feat_0c69ee176d2c9997fbf2,run_20260710T112249Z,Henry Bernet,True,2.05,10.167095450118811,0.010167095450118811,0.5406742691993713,0.48780487804878053,0.052869391150590805,0.05,10.67545022262475,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_13,2026-07-10 11:30:43,Challenger - Newport (3),Arthur Gea vs Adam Walton,match_1fc25974b8fa96f266e8,feat_e22dea598f084492e892,run_20260710T112249Z,Adam Walton,False,1.5405405405405406,10.167095450118811,0.010167095450118811,0.6700216233730316,0.6491228070175439,0.020898816355487737,0.05,5.495727270334493,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_14,2026-07-10 11:30:43,Challenger - Bogota (4),Juan Pablo Varillas vs Matheus Pucinelli de Almeida,match_6669d8217825b6c3877f,feat_f8389e1717d5a93acb1b,run_20260710T112249Z,Juan Pablo Varillas,True,2.55,10.167095450118811,0.010167095450118811,0.45020976662635803,0.3921568627450981,0.05805290388125994,0.05,15.758997947684156,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_15,2026-07-10 11:30:43,ITF Men's - ITF Men San Salvador de Jujuy (4),Enzo Kohlmann de Freitas vs Thiago Cigarran,match_03b1450b90428c1459ec,feat_45dc4fdb232d6be5fa2c,run_20260710T112249Z,Thiago Cigarran,False,2.35,10.167095450118811,0.010167095450118811,0.5221897959709167,0.425531914893617,0.09665788107729972,0.05,13.725578857660397,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_16,2026-07-10 11:30:43,ITF Men's - ITF Men San Salvador de Jujuy (4),Juan Estevez vs Felipe de Dios,match_d8283b66b1cc9544b1dd,feat_98f2821a18fb7c5654d2,run_20260710T112249Z,Felipe de Dios,False,13.0,10.167095450118811,0.010167095450118811,0.18196260929107666,0.07692307692307693,0.10503953236799973,0.05,122.00514540142574,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
bet_20260710_113043_17,2026-07-10 11:30:43,ITF Men's - ITF Men Dallas (4),Aidan Kim vs Bruno Kuzuhara,match_3c77bc7564cb9983f486,feat_6dbd6742e029afee27ff,run_20260710T112249Z,Bruno Kuzuhara,False,2.4,10.167095450118811,0.010167095450118811,0.5602749288082123,0.4166666666666667,0.1436082621415456,0.05,14.233933630166336,10.167095450118811,2026-07-10,1000.0,v1.2.2,2026-07-10,,pending
