bet_id,timestamp,event,match,match_uid,feature_snapshot_id,run_id,bet_on,bet_on_player1,odds_decimal,stake,stake_fraction,model_prob,market_prob,edge,kelly_fraction,potential_profit,potential_loss,group_key,bankroll,model_version,match_date,match_start_time,status
bet_20260709_052136_0,2026-07-09 05:21:36,Challenger - Iasi (3),Cezar Cretu vs Gustavo Heide,match_88d8107e076239b9924f,feat_3c02c422cc6fc6291f20,run_20260709T051522Z,Cezar Cretu,True,3.3,16.363636363636363,0.016363636363636365,0.4707413911819458,0.30303030303030304,0.16771108815164276,0.05,37.63636363636363,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_1,2026-07-09 05:21:36,Challenger - Braunschweig (4),Vilius Gaubas vs Facundo Diaz Acosta,match_70490c4cb0b73ef40f3f,feat_4f6aeb9ce793ee2ad429,run_20260709T051522Z,Vilius Gaubas,True,2.4,16.363636363636363,0.016363636363636365,0.5771440267562866,0.4166666666666667,0.16047736008961994,0.05,22.909090909090907,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_2,2026-07-09 05:21:36,Challenger - Braunschweig (4),Niels McDonald vs Martin Krumich,match_151d5f337f84e23cdbbb,feat_1b88f9d50da4a74db718,run_20260709T051522Z,Martin Krumich,False,1.8,16.363636363636363,0.016363636363636365,0.702933132648468,0.5555555555555556,0.14737757709291244,0.05,13.090909090909092,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_3,2026-07-09 05:21:36,Challenger - Braunschweig (4),Marvin Moeller vs Adolfo Daniel Vallejo,match_9f03eb0bf2297e15cbe8,feat_e6079d54d17784961241,run_20260709T051522Z,Marvin Moeller,True,4.5,16.363636363636363,0.016363636363636365,0.3108542859554291,0.2222222222222222,0.08863206373320687,0.05,57.27272727272727,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_4,2026-07-09 05:21:36,Challenger - Nottingham (4),Amit Vales vs Henry Searle,match_0d4732658f3fb4e2a9d3,feat_6bdac74637f7d1bd4e23,run_20260709T051522Z,Amit Vales,True,6.5,16.363636363636363,0.016363636363636365,0.1993214190006256,0.15384615384615385,0.045475265154471756,0.05,90.0,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_5,2026-07-09 05:21:36,Challenger - Liege (4),Kimmer Coppejans vs Daniel Michalski,match_3daa6b5e2ab78b3991cf,feat_4eff3f4372f35bbf2a55,run_20260709T051522Z,Daniel Michalski,False,2.55,16.363636363636363,0.016363636363636365,0.4821569323539734,0.3921568627450981,0.0900000696088753,0.05,25.36363636363636,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_6,2026-07-09 05:21:36,Challenger - Liege (4),Gauthier Onclin vs Florian Broska,match_06b63691e8af47d2703d,feat_084ac9476cdcaa770649,run_20260709T051522Z,Gauthier Onclin,True,1.3333333333333333,16.363636363636363,0.016363636363636365,0.772350549697876,0.75,0.022350549697875977,0.05,5.454545454545453,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_7,2026-07-09 05:21:36,Challenger - Trieste (3),Maxim Mrva vs Federico Bondioli,match_69966850b6e23ab4c3b7,feat_120b81bbc5694b4f6412,run_20260709T051522Z,Federico Bondioli,False,2.3,16.363636363636363,0.016363636363636365,0.6011107265949249,0.4347826086956522,0.1663281178992727,0.05,21.27272727272727,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_8,2026-07-09 05:21:36,Challenger - Trieste (3),Nikolas Sanchez-Izquierdo vs Alex Barrena,match_7b7cbe1aa25126d8ccbf,feat_844720d92d316db615fb,run_20260709T051522Z,Alex Barrena,False,2.3,16.363636363636363,0.016363636363636365,0.4807291030883789,0.4347826086956522,0.04594649439272669,0.05,21.27272727272727,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_9,2026-07-09 05:21:36,Challenger - Newport (2),Jacob Fearnley vs Mark Lajal,match_fae9736ac1d0d1bdbbe0,feat_f52b79cf6ed79ed171e9,run_20260709T051522Z,Mark Lajal,False,2.45,16.363636363636363,0.016363636363636365,0.5388857424259186,0.4081632653061224,0.13072247711979618,0.05,23.72727272727273,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
bet_20260709_052136_10,2026-07-09 05:21:36,Challenger - Newport (2),Stefan Kozlov vs Yibing Wu,match_37f771d19e064bcc9dd0,feat_587e940c0153507cbb8e,run_20260709T051522Z,Stefan Kozlov,True,4.05,16.363636363636363,0.016363636363636365,0.37047722935676575,0.2469135802469136,0.12356364910985215,0.05,49.90909090909091,16.363636363636363,2026-07-09,1000.0,v1.2.1,2026-07-09,,pending
